filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/helm.values.yaml',8,22,[8],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/tango.values.yaml',9,22,[9],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/charts.values.yaml',10,22,[10],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/skampi.values.yaml',11,22,[11],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/minecraft.values.yaml',12,22,[12],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/kubecf.values.yaml',13,22,[13],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/nextcloud.values.yaml',14,22,[14],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/keycloak.values.yaml',15,22,[15],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/empty.yml',16,22,[16],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/kubecf.values.yaml',17,22,[17],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/TEST_CONSTANTS.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'TEST_ARTIFACTS/special.secret1.yaml',106,22,[106],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
Project/constants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'Secret',81,31,"[81, 82]",https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
